ID;Team Name;Standings 2015-16;Points 2015-16;Standings 2016-17;Points 2016-17;;M1 ;;M2 ;;M3 ;;M4 ;;M5;;M6;;M7;;M8;;M9 ;;M10
1;Nice;4;63;1;26;Rennes;6;Angers;9;Lille;16;Marseille;11;Montpellier;17;Monaco;2;Nancy;19;Lorient;20;Lyon;10;Metz;12
2;Monaco;3;65;2;22;Guingamp;5;Nantes;14;PSG;3;Lille;16;Rennes;6;Nice;1;Angers;9;Metz;12;Toulouse;4;Montpellier;17
3;Paris St-Germain;1;96;3;20;Bastia;15;Metz;12;Monaco;2;ASSE;7;Caen;18;Dijon;13;Toulouse;4;Bordeaux;8;Nancy;19;Marseille;11
4;Toulouse;17;40;4;18;Marseille;11;Bordeaux;8;ASSE;7;Bastia;15;Guingamp;5;Lille;16;PSG;3;Caen;18;Monaco;2;Angers;9
5;Guingamp;16;44;5;17;Monaco;2;Marseille;11;Nancy;19;Montpellier;17;Toulouse;4;Lorient;20;Bastia;15;Rennes;6;Lille;16;Lyon;10
6;Rennes;8;52;6;17;Nice;1;Nancy;19;Montpellier;17;Caen;18;Monaco;2;Marseille;11;Dijon;13;Guingamp;5;Bordeaux;8;Nantes;14
7;ASSE;6;58;7;16;Bordeaux;8;Montpellier;17;Toulouse;4;PSG;3;Bastia;15;Nantes;14;Lille;16;Lyon;10;Dijon;13;Caen;18
8;Bordeaux;11;50;8;15;ASSE;7;Toulouse;4;Nantes;14;Lyon;10;Angers;9;Metz;12;Caen;18;PSG;3;Rennes;6;Nancy;19
9;Angers;9;50;9;14;Montpellier;17;Nice;1;Metz;12;Dijon;13;Bordeaux;8;Caen;18;Monaco;2;Marseille;11;Bastia;15;Toulouse;4
10;Lyon;2;65;10;13;Nancy;19;Caen;18;Dijon;13;Bordeaux;8;Marseille;11;Montpellier;17;Lorient;20;ASSE;7;Nice;1;Guingamp;5
11;Marseille;13;48;11;13;Toulouse;4;Guingamp;5;Lorient;20;Nice;1;Lyon;10;Rennes;6;Nantes;14;Angers;9;Metz;12;PSG;3
12;Metz;17;40;12;13;Lille;16;PSG;3;Angers;9;Nantes;14;Dijon;13;Bordeaux;8;Montpellier;17;Monaco;2;Marseille;11;Nice;1
13;Dijon;17;40;13;12;Nantes;14;Lille;16;Lyon;10;Angers;9;Metz;12;PSG;3;Rennes;6;Montpellier;17;ASSE;7;Lorient;20
14;Nantes;14;48;14;11;Dijon;13;Monaco;2;Bordeaux;8;Metz;12;Nancy;19;ASSE;7;Marseille;11;Bastia;15;Lorient;20;Rennes;6
15;Bastia;10;50;15;10;PSG;3;Lorient;20;Caen;18;Toulouse;4;ASSE;7;Nancy;19;Guingamp;5;Nantes;14;Angers;9;Lille;16
16;Lille;5;60;16;10;Metz;12;Dijon;13;Nice;1;Monaco;2;Lorient;20;Toulouse;4;ASSE;7;Nancy;19;Guingamp;5;Bastia;15
17;Montpellier;12;49;17;10;Angers;9;ASSE;7;Rennes;6;Guingamp;5;Nice;1;Lyon;10;Metz;12;Dijon;13;Caen;18;Monaco;2
18;Caen;7;54;18;10;Lorient;20;Lyon;10;Bastia;15;Rennes;6;PSG;3;Angers;9;Bordeaux;8;Toulouse;4;Montpellier;17;ASSE;7
19;Nancy;17;40;19;6;Lyon;10;Rennes;6;Guingamp;5;Lorient;20;Nantes;14;Bastia;15;Nice;1;Lille;16;PSG;3;Bordeaux;8
20;Lorient;15;46;20;6;Caen;18;Bastia;15;Marseille;11;Nancy;19;Lille;16;Guingamp;5;Lyon;10;Nice;1;Nantes;14;Dijon;13
